name,1,2,3,4,5,6,7,8
1_4,0.95,0,0,0.043,0,0,0,0
1_4_9,0.91,0,0,0.042,0.045,0,0,0
1_4_9,0.87,0,0,0.039,0.087,0,0,0
1_4_8,0.91,0,0,0.042,0,0.045,0,0
1_4_8,0.87,0,0,0.039,0,0.087,0,0
1_4_6,0.91,0,0,0.042,0,0,0.045,0
1_4_6,0.87,0,0,0.039,0,0,0.087,0
1_4_7,0.91,0,0,0.042,0,0,0,0.045
1_4_7,0.87,0,0,0.039,0,0,0,0.087
3_5,0,0.94,0.058,0,0,0,0,0
3_5_9,0,0.89,0.056,0,0.044,0,0,0
3_5_9,0,0.86,0.053,0,0.086,0,0,0
3_5_8,0,0.89,0.056,0,0,0.044,0,0
3_5_8,0,0.86,0.053,0,0,0.086,0,0
3_5_6,0,0.89,0.056,0,0,0,0.044,0
3_5_6,0,0.86,0.053,0,0,0,0.086,0
3_5_7,0,0.89,0.056,0,0,0,0,0.044
3_5_7,0,0.86,0.053,0,0,0,0,0.086
